x,y,x_predic,y_predic,,
0,0,0,0,0,1.801434148
0.5,0.5,1,2,1.58113883,
1,1,3,0,2.236067977,
1.5,1.5,1,2,0.707106781,
2,2,0,4,2.828427125,
2.5,2.5,3,1,1.58113883,
3,3,3,5,2,
3.5,3.5,5,3,1.58113883,
4,4,5,5,1.414213562,
4.5,4.5,5,5,0.707106781,
5,5,4,4,1.414213562,
5,0,3,0,2,
4.5,0.5,3,0,1.58113883,
4,1,3,0,1.414213562,
3.5,1.5,3,0,1.58113883,
3,2,2,2,1,
2.5,2.5,3,1,1.58113883,
2,3,0,5,2.828427125,
1.5,3.5,3,1,2.915475947,
1,4,0,5,1.414213562,
0.5,4.5,3,5,2.549509757,
0,5,0,5,0,
2.5,0,0,2,3.201562119,
2.5,0.5,3,1,0.707106781,
2.5,1,3,2,1.118033989,
2.5,1.5,3,0,1.58113883,
2.5,2,3,4,2.061552813,
2.5,2.5,3,1,1.58113883,
2.5,3,3,2,1.118033989,
2.5,3.5,3,5,1.58113883,
2.5,4,3,5,1.118033989,
2.5,4.5,3,1,3.535533906,
2.5,5,1,2,3.354101966,
0,2.5,0,1,1.5,
0.5,2.5,1,0,2.549509757,
1,2.5,0,2,1.118033989,
1.5,2.5,4,3,2.549509757,
2,2.5,4,2,2.061552813,
2.5,2.5,3,1,1.58113883,
3,2.5,3,1,1.5,
3.5,2.5,5,3,1.58113883,
4,2.5,3,4,1.802775638,
4.5,2.5,3,1,2.121320344,
5,2.5,0,2,5.024937811,
