x, y, AP1, AP2, AP3, AP4,,c,299792458,,,,,,,,,,,,
0,0,-25.13,-47.63,-46.95,-57.82,,lambdac,0.124913524,,,,,,,,,,,,
1,0,-32.29,-41.32,-61.31,-64.35,,,,,,,,,,,,,,,
2,0,-41.99,-43.12,-52.39,-53.41,,,,,,,,,,,,,,,
3,0,-39.89,-37.9,-44.78,-45.93,,-1.2565,-2.3815,-2.3475,-2.891,,8.359686816,0.626888074,0.677938046,0.1939501,,-37.17119983,-59.67119983,-58.99119983,-69.86119983
4,0,-41.64,-34.82,-49.7,-50.11,,-1.6145,-2.066,-3.0655,-3.2175,,3.665979293,1.296253695,0.129774692,0.091451326,,-44.33119983,-53.36119983,-73.35119983,-76.39119983
5,0,-49.45,-23.77,-54.06,-45.71,,-2.0995,-2.156,-2.6195,-2.6705,,1.200024209,1.05363456,0.362401517,0.322247834,,-54.03119983,-55.16119983,-64.43119983,-65.45119983
0,1,-33.44,-45.11,-41.72,-58.82,,-1.9945,-1.895,-2.239,-2.2965,,1.528234528,1.921719546,0.870342132,0.762412499,,-51.93119983,-49.94119983,-56.82119983,-57.97119983
1,1,-32.6,-47.76,-42.94,-56.43,,-2.082,-1.741,-2.485,-2.5055,,1.249366934,2.739617978,0.493957982,0.471183428,,-53.68119983,-46.86119983,-61.74119983,-62.15119983
2,1,-50.37,-43.99,-44.87,-53.08,,-2.4725,-1.1885,-2.703,-2.2855,,0.508381815,9.77664864,0.299012957,0.781969848,,-61.49119983,-35.81119983,-66.10119983,-57.75119983
3,1,-38.26,-48.99,-46.43,-42.51,,-1.672,-2.2555,-2.086,-2.941,,3.211367497,0.837895788,1.237912669,0.172858208,,-45.48119983,-57.15119983,-53.76119983,-70.86119983
4,1,-44.72,-35.19,-65.3,-51.22,,-1.63,-2.388,-2.147,-2.8215,,3.537447536,0.617575427,1.075697124,0.227609302,,-44.64119983,-59.80119983,-54.98119983,-68.47119983
5,1,-48.13,-35.09,-55.34,-44.59,,-2.5185,-2.1995,-2.2435,-2.654,,0.457288213,0.953213112,0.861370527,0.334726431,,-62.41119983,-56.03119983,-56.91119983,-65.12119983
0,2,-42.26,-46.78,-38.1,-54.6,,-1.913,-2.4495,-2.3215,-2.1255,,1.843698946,0.536031124,0.719763812,1.130290318,,-50.30119983,-61.03119983,-58.47119983,-54.55119983
1,2,-61.99,-45.34,-45.78,-47.01,,-2.236,-1.7595,-3.265,-2.561,,0.876375055,2.625366912,0.08197662,0.414657961,,-56.76119983,-47.23119983,-77.34119983,-63.26119983
2,2,-46.81,-42.31,-45.66,-43.19,,-2.4065,-1.7545,-2.767,-2.2295,,0.591820504,2.655767228,0.258041767,0.889590236,,-60.17119983,-47.13119983,-67.38119983,-56.63119983
3,2,-42.76,-51.11,-41.88,-41.77,,-2.113,-2.339,-1.905,-2.73,,1.163295391,0.691337329,1.877975869,0.280989446,,-54.30119983,-58.82119983,-50.14119983,-66.64119983
4,2,-43.66,-57.57,-51.57,-44.19,,-3.0995,-2.267,-2.289,-2.3505,,0.120002421,0.815999716,0.775693241,0.673271154,,-74.03119983,-57.38119983,-57.82119983,-59.05119983
5,2,-45.86,-36.57,-50.57,-40.58,,-2.3405,-2.1155,-2.283,-2.1595,,0.688953653,1.156618162,0.786484209,1.045177393,,-58.85119983,-54.35119983,-57.70119983,-55.23119983
0,3,-45.42,-49.06,-44.79,-55.71,,-2.138,-2.5555,-2.094,-2.0885,,1.098221666,0.419942672,1.215318216,1.230807142,,-54.80119983,-63.15119983,-53.92119983,-53.81119983
1,3,-48.63,-49.34,-49.74,-43.27,,-2.183,-2.8785,-2.5785,-2.2095,,0.990124957,0.199613545,0.398281384,0.931515332,,-55.70119983,-69.61119983,-63.61119983,-56.23119983
2,3,-44.09,-43.62,-45.41,-41.12,,-2.293,-1.8285,-2.5285,-2.029,,0.768581643,2.239700812,0.446879063,1.411529658,,-57.90119983,-48.61119983,-62.61119983,-52.62119983
3,3,-43.01,-41.17,-45.15,-50.07,,-2.271,-2.453,-2.2395,-2.7855,,0.808518585,0.531728584,0.86934069,0.247280578,,-57.46119983,-61.10119983,-56.83119983,-67.75119983
4,3,-52.2,-40.79,-42.2,-43.16,,-2.4315,-2.467,-2.487,-2.1635,,0.558714584,0.514861014,0.491688451,1.035595149,,-60.67119983,-61.38119983,-61.78119983,-55.31119983
5,3,-54.4,-42.09,-43.78,-38.91,,-2.2045,-2.181,-2.2705,-2.056,,0.942301771,0.994695166,0.809449963,1.326447323,,-56.13119983,-55.66119983,-57.45119983,-53.16119983
0,4,-43.79,-52.71,-34.13,-47.1,,-2.1505,-2.0585,-2.2575,-2.5035,,1.067062868,1.318833613,0.834046007,0.473358312,,-55.05119983,-53.21119983,-57.19119983,-62.11119983
1,4,-51.82,-51.96,-34.02,-41.88,,-2.61,-2.0395,-2.11,-2.158,,0.37041623,1.377812142,1.17135897,1.048793549,,-64.24119983,-52.83119983,-54.24119983,-55.20119983
2,4,-49.95,-49.57,-47.75,-40.22,,-2.72,-2.1045,-2.189,-1.9455,,0.287534531,1.186287646,0.976539933,1.710763625,,-66.44119983,-54.13119983,-55.82119983,-50.95119983
3,4,-46.67,-47.79,-43.57,-50.94,,-2.1895,-2.6355,-1.7065,-2.355,,0.975416297,0.349293101,2.966128812,0.666330983,,-55.83119983,-64.75119983,-46.17119983,-59.14119983
4,4,-52.85,-45.63,-44.25,-36.2,,-2.591,-2.598,-1.701,-2.094,,0.386981325,0.380793922,3.003931379,1.215318216,,-63.86119983,-64.00119983,-46.06119983,-53.92119983
5,4,-54.37,-50.79,-47.76,-35.27,,-2.4975,-2.4785,-2.3875,-2.011,,0.479943382,0.501406555,0.618286847,1.471261964,,-61.99119983,-61.61119983,-59.79119983,-52.26119983
0,5,-44.92,-60.12,-24.01,-57.61,,-2.3335,-2.3895,-2.1785,-2.547,,0.70014825,0.615446077,1.000437604,0.428242738,,-58.71119983,-59.83119983,-55.61119983,-62.98119983
1,5,-52.96,-54.82,-35.29,-43.93,,-2.6425,-2.2815,-2.2125,-1.81,,0.34370829,0.789205326,0.925102826,2.337168409,,-64.89119983,-57.67119983,-56.29119983,-48.24119983
2,5,-46.63,-50.24,-39.43,-41.15,,-2.7185,-2.5395,-2.388,-1.7635,,0.288529357,0.435702455,0.617575427,2.601297404,,-66.41119983,-62.83119983,-59.80119983,-47.31119983
3,5,-45.99,-53.4,-40.37,-40.81,,-2.246,-3.006,-1.2005,-2.8805,,0.856426324,0.148829837,9.510207823,0.198696404,,-56.96119983,-72.16119983,-36.05119983,-69.65119983
4,5,-52.47,-50.32,-42.44,-33.89,,-2.648,-2.741,-1.7645,-2.1965,,0.33938294,0.273961798,2.595314586,0.959820469,,-65.00119983,-66.86119983,-47.33119983,-55.97119983
5,5,-56.12,-61.53,-45.3,-24.38,,-2.3315,-2.512,-1.9715,-2.0575,,0.703379987,0.46418383,1.61135046,1.321873839,,-58.67119983,-62.28119983,-51.47119983,-53.19119983
Waktu : 42468.83617854118,,,,,,,-2.2995,-2.67,-2.0185,-2.0405,,0.757164088,0.32261905,1.446072301,1.374643262,,-58.03119983,-65.44119983,-52.41119983,-52.85119983
,,,,,,,-2.6235,-2.516,-2.122,-1.6945,,0.359079,0.459928167,1.139436186,3.049228761,,-64.51119983,-62.36119983,-54.48119983,-45.93119983
,,,,,,,-2.806,-3.0765,-2.265,-1.219,,0.235879396,0.12652898,0.819766199,9.113600928,,-68.16119983,-73.57119983,-57.34119983,-36.42119983
